NACA 65-210
  0.974624  -0.003039
  0.978344  -0.002750
  0.981775  -0.002482
  0.984915  -0.002237
  0.987762  -0.002013
  0.990314  -0.001813
  0.992569  -0.001635
  0.994527  -0.001480
  0.996185  -0.001349
  0.997543  -0.001241
  0.998601  -0.001157
  0.999356  -0.001097
  0.999810  -0.001061
  1.000000  0.000000
